QUESTION_ID	PARTICIPANT_ID	SCORE
Q1	156070594	1
Q1	586070648	1
Q1	410070706	1
Q1	400070152	3
Q1	398070007	1
Q1	344070683	1
Q1	156070529	1
Q1	422070259	1
Q1	792071520	1
Q1	158070107	1
Q1	462070944	1
Q1	158070358	1
Q1	158070108	1
Q1	792070098	1
Q1	360070343	1
Q1	702070697	1
Q1	422070814	1
Q1	608070063	1
Q1	360072950	4
Q1	458070415	1
Q1	360072762	1
Q1	104070684	1
Q1	417070149	4
Q1	360070072	1
Q1	360072109	1
Q1	360072005	1
Q1	50070660	1
Q1	368071010	1
Q1	50071115	4
Q1	360072362	1
Q1	496071204	1
Q1	792070820	1
Q1	368071175	1
Q1	156071814	1
Q1	360072834	1
Q1	360071935	1
Q1	364071928	1
Q1	360072023	1
Q1	360071819	1
Q1	368071009	1
Q1	703070387	1
Q1	300070344	1
Q1	276070681	1
Q1	642070615	1
Q1	643071326	1
Q1	528070146	1
Q1	20070536	1
Q1	300070007	1
Q1	703070255	1
Q1	300070314	1
Q1	528071879	1
Q1	528071583	1
Q1	528071289	1
Q1	528071466	1
Q1	909070272	1
Q1	643071096	1
Q1	826070080	1
Q1	528070067	1
Q1	826071321	1
Q1	703070855	1
Q1	203070238	4
Q1	643071088	1
Q1	703070427	1
Q1	643070115	1
Q1	51070657	1
Q1	642070779	1
Q1	703071091	1
Q1	196070168	1
Q1	300070753	1
Q1	300071071	1
Q1	826070951	1
Q1	826072405	1
Q1	528071813	1
Q1	196070652	1
Q1	300070874	1
Q1	196070429	1
Q1	826071121	1
Q1	703070894	1
Q1	642070088	1
Q1	804070731	1
Q1	68070314	1
Q1	170070471	1
Q1	604070672	1
Q1	604071126	1
Q1	862070546	1
Q1	76071347	1
Q1	68070981	1
Q1	862070472	1
Q1	76070417	1
Q1	68071935	1
Q1	170078462	1
Q1	32070028	1
Q1	68071817	1
Q1	170073538	1
Q1	170078920	1
Q1	32070430	1
Q1	68070399	1
Q1	152070494	1
Q1	170075035	1
Q1	170070054	4
Q1	152070923	1
Q1	218070541	1
Q1	170074579	1
Q1	218070048	1
Q1	218070214	1
Q1	76070188	1
Q1	604071100	1
Q1	604071101	1
Q1	604070426	1
Q1	218070602	1
Q1	218070839	1
Q1	68071684	1
Q1	68070641	1
Q1	76070256	1
Q1	68071692	1
Q1	604071105	1
Q1	68071744	1
Q1	604070891	1
Q1	218070529	3
Q1	604070835	1
Q1	434070894	1
Q1	434071049	1
Q1	404070329	1
Q1	404071070	1
Q1	788070482	1
Q1	566070467	1
Q1	434070636	1
Q1	818070511	1
Q1	818070258	1
Q1	788070954	1
Q1	434070491	1
Q1	716070619	1
Q1	434070280	1
Q1	434070539	1
Q1	404070015	1
Q1	818070183	1
Q1	504070329	1
Q1	716071183	1
Q1	788070378	1
Q1	434070172	1
Q1	788071119	1
Q1	434070705	4
Q1	566070091	1
Q1	788070416	1
Q1	818070603	1
Q1	788071187	4
Q1	818071042	1
Q1	818070237	1
Q1	231070458	4
Q1	231070731	1
Q1	434071072	1
Q1	788070975	1
Q1	434070079	1
Q1	404070964	1
Q1	404070746	1
Q1	716070587	1
Q1	434070229	1
Q1	716070968	1
Q1	716071213	1
Q1	566070687	1
Q1	630071118	1
Q1	124070696	1
Q1	484071250	1
Q1	124071478	1
Q1	124074829	1
Q1	558070334	1
Q1	484071177	1
Q1	484070301	1
Q1	558070151	1
Q1	484071011	4
Q1	840072850	1
Q1	484071076	1
Q1	124071008	1
Q1	320070283	1
Q1	124073018	1
Q1	630070493	1
Q1	630071078	1
Q1	558070611	1
Q1	558070257	1
Q1	558070117	1
Q1	124070910	1
Q1	124072164	4
Q1	124074636	1
Q1	484070400	1
Q1	558070304	1
Q1	484071234	1
Q1	320070572	1
Q1	320070563	1
Q1	558070830	1
Q1	484070817	1
Q1	320071184	1
Q1	558070906	1
Q1	484070522	1
Q1	124075236	1
Q1	124070985	1
Q1	558070780	1
Q1	558070937	1
Q1	124074421	1
Q1	558070895	1
Q1	124071381	1
Q1	554070452	1
Q1	36070791	1
Q1	554070454	1
Q1	36071305	1
Q1	36071068	1
Q1	554070861	1
Q1	36070815	1
Q1	36071455	1
Q1	554070133	1
Q1	36070923	1
Q1	554070853	1
Q1	36071114	1
Q1	36070421	1
Q1	36071084	4
Q1	36070148	1
Q1	554070913	1
Q1	554070992	1
Q1	554070205	1
Q1	554070895	1
Q1	554070506	1
Q1	36070626	1
Q1	36070300	1
Q1	36071598	1
Q1	36070868	1
Q1	554070165	1
Q1	36071788	1
Q1	36070621	1
Q1	36070522	2
Q1	36070870	1
Q1	36071165	1
Q2	608070097	1
Q2	702070734	1
Q2	392070125	1
Q2	364072376	1
Q2	496070317	1
Q2	158070268	1
Q2	446070647	1
Q2	586070200	1
Q2	446070864	1
Q2	156070578	1
Q2	156070183	1
Q2	398071120	1
Q2	702071955	1
Q2	608070039	1
Q2	496070910	1
Q2	608070818	1
Q2	400070178	1
Q2	400070272	1
Q2	392071062	1
Q2	608070084	1
Q2	764070189	1
Q2	704071024	1
Q2	156071929	1
Q2	458070060	1
Q2	360072762	3
Q2	586071893	1
Q2	586071301	1
Q2	50070609	1
Q2	764070920	1
Q2	360071743	1
Q2	792070710	1
Q2	496071608	1
Q2	360073171	1
Q2	586071517	1
Q2	704070283	1
Q2	156070830	1
Q2	417070406	1
Q2	156072830	1
Q2	360072853	1
Q2	704070643	1
Q2	276071027	1
Q2	804070259	1
Q2	276070835	1
Q2	643070796	1
Q2	643071493	1
Q2	300070160	1
Q2	826070674	1
Q2	20070536	1
Q2	300070188	1
Q2	300070930	1
Q2	300070037	1
Q2	642070845	1
Q2	276070875	1
Q2	276070072	1
Q2	20070366	1
Q2	203071018	1
Q2	909070040	1
Q2	826071321	1
Q2	196070875	1
Q2	909070033	1
Q2	51070493	1
Q2	804071120	1
Q2	688070557	1
Q2	642070870	1
Q2	826071950	1
Q2	203071144	1
Q2	300071078	4
Q2	300070753	1
Q2	643071007	1
Q2	300070665	1
Q2	909070260	1
Q2	804070321	1
Q2	51070836	4
Q2	826070869	3
Q2	804070443	1
Q2	203070948	1
Q2	703070414	1
Q2	826071121	1
Q2	196070706	1
Q2	826070421	4
Q2	32070782	1
Q2	68071202	1
Q2	862070830	4
Q2	68071611	1
Q2	68070565	1
Q2	76070165	1
Q2	170070112	1
Q2	68070068	1
Q2	32070456	1
Q2	76070693	1
Q2	76070070	1
Q2	862070743	1
Q2	170077383	1
Q2	68071526	1
Q2	170076589	1
Q2	862070448	4
Q2	76071238	1
Q2	76071021	1
Q2	152070494	1
Q2	76071836	1
Q2	218070818	1
Q2	218070728	1
Q2	604070792	3
Q2	32070936	1
Q2	68070954	1
Q2	218070815	1
Q2	68070803	1
Q2	152070860	1
Q2	170074454	1
Q2	218071176	1
Q2	76070252	1
Q2	68070025	1
Q2	604070889	1
Q2	862070540	1
Q2	76070764	3
Q2	76071787	1
Q2	604070594	1
Q2	76071779	1
Q2	32070930	1
Q2	604071105	1
Q2	716070476	1
Q2	404070859	3
Q2	434071155	3
Q2	434070596	1
Q2	716070233	1
Q2	818071061	1
Q2	788070242	1
Q2	818070221	1
Q2	788071083	1
Q2	504070463	1
Q2	434071120	1
Q2	504070379	1
Q2	434070438	1
Q2	434070862	1
Q2	504070250	1
Q2	404070723	1
Q2	404071226	1
Q2	404070775	1
Q2	716070126	1
Q2	404071230	1
Q2	716070374	1
Q2	231071012	1
Q2	504070006	1
Q2	566070119	1
Q2	504070331	4
Q2	788071187	1
Q2	404070991	1
Q2	231070595	1
Q2	231070195	1
Q2	818070575	3
Q2	434070101	1
Q2	818070806	1
Q2	231071104	1
Q2	716070844	1
Q2	434070079	1
Q2	716070755	4
Q2	231071060	3
Q2	566070429	1
Q2	716070503	1
Q2	818071085	1
Q2	630070410	3
Q2	124071461	1
Q2	840072401	4
Q2	840071392	1
Q2	840071929	1
Q2	558070137	1
Q2	484070309	1
Q2	484070715	1
Q2	484070446	1
Q2	484070427	1
Q2	320070697	1
Q2	124073119	1
Q2	124073563	1
Q2	124071434	1
Q2	484071204	1
Q2	558070128	1
Q2	630071171	1
Q2	840071155	1
Q2	558070389	1
Q2	484070457	1
Q2	484070552	1
Q2	124071921	1
Q2	558070996	1
Q2	484070400	1
Q2	484070506	1
Q2	558070467	1
Q2	558071124	1
Q2	558070946	1
Q2	484070504	1
Q2	320070442	1
Q2	558070889	1
Q2	320070322	1
Q2	558071051	1
Q2	124072809	1
Q2	320071174	1
Q2	558071035	1
Q2	124073609	1
Q2	558070457	1
Q2	124074397	1
Q2	124073640	1
Q2	36071381	1
Q2	554070452	1
Q2	554070746	1
Q2	554070620	1
Q2	554070691	1
Q2	554070133	1
Q2	36071455	1
Q2	554070861	1
Q2	36070409	1
Q2	36070923	1
Q2	36070266	1
Q2	36070714	1
Q2	554070647	1
Q2	554070237	1
Q2	36070902	1
Q2	554070913	1
Q2	554070399	1
Q2	554070992	1
Q2	554070334	1
Q2	36070894	1
Q2	36070300	1
Q2	36071069	1
Q2	36070073	1
Q2	36070240	1
Q2	554070060	1
Q2	554070036	1
Q2	36070522	1
Q2	36071156	1
Q2	36070870	1
Q2	36071797	1
Q3	410070959	4
Q3	364072161	1
Q3	446070563	4
Q3	422070939	1
Q3	446070852	1
Q3	792071858	2
Q3	702071743	4
Q3	702072002	1
Q3	586070525	1
Q3	344070537	1
Q3	422070669	1
Q3	608070774	1
Q3	792071094	4
Q3	446070178	1
Q3	344072042	4
Q3	462070771	2
Q3	156070507	4
Q3	586070273	1
Q3	410070175	4
Q3	410070920	1
Q3	104071173	1
Q3	762070522	1
Q3	400071105	2
Q3	156071493	4
Q3	762070199	4
Q3	764070900	1
Q3	360071159	1
Q3	50070101	1
Q3	104070046	1
Q3	50070406	1
Q3	392070086	1
Q3	417070789	4
Q3	392070180	1
Q3	156072630	1
Q3	764070488	1
Q3	792071934	1
Q3	608070584	4
Q3	360072382	1
Q3	764070700	2
Q3	156072885	1
Q3	642071099	1
Q3	804070575	4
Q3	826070365	1
Q3	51071166	3
Q3	804071200	3
Q3	643070637	1
Q3	276071396	1
Q3	804070458	1
Q3	300070738	1
Q3	643070851	1
Q3	20070124	1
Q3	300070148	1
Q3	300071084	1
Q3	528071466	1
Q3	688071163	1
Q3	528071222	1
Q3	51070202	1
Q3	528070067	1
Q3	276071259	1
Q3	703070185	1
Q3	804071120	1
Q3	688070245	1
Q3	642070506	4
Q3	688070166	1
Q3	528071504	1
Q3	642070752	1
Q3	196070079	1
Q3	300070423	2
Q3	196070298	1
Q3	643070626	1
Q3	300071169	1
Q3	826072313	1
Q3	528071819	4
Q3	826071632	1
Q3	196070849	1
Q3	826070421	1
Q3	826071095	1
Q3	826071676	4
Q3	51071198	1
Q3	826070052	1
Q3	68071549	4
Q3	152070128	1
Q3	170079118	1
Q3	68071202	1
Q3	152070551	1
Q3	32070535	3
Q3	604070358	4
Q3	68070635	4
Q3	76070871	1
Q3	68071042	1
Q3	604070169	1
Q3	170078226	1
Q3	604071214	1
Q3	76070615	1
Q3	68070525	1
Q3	32070066	1
Q3	68070102	1
Q3	76070379	1
Q3	76070059	2
Q3	152070570	2
Q3	218070048	1
Q3	862070168	4
Q3	170075711	1
Q3	68070006	1
Q3	170074414	1
Q3	152070849	1
Q3	604070426	4
Q3	76071356	1
Q3	32070928	1
Q3	68070385	1
Q3	32070965	1
Q3	218070637	1
Q3	68071684	4
Q3	68070117	1
Q3	170076402	4
Q3	68071414	1
Q3	170076609	1
Q3	170075521	4
Q3	152070844	1
Q3	76070411	4
Q3	504070098	1
Q3	788070797	4
Q3	434070682	1
Q3	788071085	4
Q3	716070037	1
Q3	504071001	1
Q3	231071038	1
Q3	231070962	1
Q3	504070916	4
Q3	504071115	4
Q3	716070719	1
Q3	434070952	1
Q3	504070650	1
Q3	788070335	1
Q3	404070091	1
Q3	434070941	1
Q3	504070325	1
Q3	716070038	1
Q3	788071150	1
Q3	404070684	1
Q3	504070110	1
Q3	566070760	4
Q3	818070428	1
Q3	818070698	1
Q3	818070849	4
Q3	231070458	4
Q3	818070039	1
Q3	231070408	4
Q3	716071125	1
Q3	404071234	1
Q3	434070079	1
Q3	818070789	4
Q3	716070439	1
Q3	818070699	4
Q3	404070567	1
Q3	716070536	1
Q3	716070915	1
Q3	716070561	1
Q3	566070801	1
Q3	716070986	1
Q3	124073114	4
Q3	840071392	4
Q3	840071527	1
Q3	124070776	1
Q3	124072988	4
Q3	630071167	4
Q3	484071241	2
Q3	558070344	4
Q3	484071663	1
Q3	558070412	1
Q3	484070040	4
Q3	840073467	2
Q3	840073207	1
Q3	124076065	1
Q3	124070203	1
Q3	840073543	3
Q3	558070537	1
Q3	558070095	1
Q3	558070122	4
Q3	630070023	4
Q3	840072789	1
Q3	484070565	4
Q3	484070921	3
Q3	124073126	4
Q3	840073414	4
Q3	124072336	1
Q3	558070887	1
Q3	320071091	1
Q3	558070456	4
Q3	320071181	4
Q3	558070505	2
Q3	840073030	1
Q3	320071174	1
Q3	124074936	1
Q3	124075183	1
Q3	558070784	1
Q3	124071764	2
Q3	558070700	1
Q3	558070780	1
Q3	124073609	1
Q3	554070999	4
Q3	554070896	1
Q3	36070311	1
Q3	36070789	4
Q3	554070810	1
Q3	36070409	4
Q3	36071455	1
Q3	554070550	1
Q3	36070815	4
Q3	554070861	1
Q3	554070122	4
Q3	554070170	1
Q3	554070505	1
Q3	36071489	4
Q3	554070616	1
Q3	554070959	1
Q3	554070038	1
Q3	554070210	4
Q3	36070156	1
Q3	554070190	4
Q3	36070721	1
Q3	36070108	1
Q3	554070073	1
Q3	36070626	4
Q3	36071124	1
Q3	36071799	4
Q3	36071781	1
Q3	36071156	1
Q3	36071664	1
Q3	36071797	1
Q46	156071692	1
Q46	458070872	1
Q46	586070659	1
Q46	702070276	1
Q46	368071160	1
Q46	792070949	1
Q46	792072167	1
Q46	792071602	1
Q46	792072266	1
Q46	364071299	1
Q46	344071292	1
Q46	344071215	3
Q46	360072804	1
Q46	158070331	1
Q46	50071046	1
Q46	360070789	1
Q46	368070352	1
Q46	158070407	1
Q46	458070925	2
Q46	156070111	1
Q46	156071813	1
Q46	704070589	1
Q46	496071574	3
Q46	417070109	1
Q46	422070948	1
Q46	364071202	1
Q46	496071371	2
Q46	360072030	2
Q46	360071219	2
Q46	462070483	1
Q46	398071004	1
Q46	496071524	1
Q46	417070037	1
Q46	368071192	2
Q46	792072402	1
Q46	360070027	1
Q46	764070543	1
Q46	398070377	1
Q46	360070973	1
Q46	704070325	1
Q46	196070327	1
Q46	909070218	1
Q46	51070328	3
Q46	528070960	1
Q46	528071607	1
Q46	203070187	1
Q46	300071005	1
Q46	703070965	1
Q46	20070487	1
Q46	703070819	1
Q46	826070106	1
Q46	51070402	1
Q46	642070475	1
Q46	276070659	1
Q46	826070539	1
Q46	688070868	1
Q46	826070642	1
Q46	642070862	1
Q46	203071200	1
Q46	528070907	1
Q46	196070321	1
Q46	276071003	4
Q46	528071668	1
Q46	528070249	1
Q46	804070371	1
Q46	196070302	1
Q46	20070204	1
Q46	300070500	2
Q46	203070442	1
